,imp0,imp1,imp2,imp3,imp4,mean_imp
P_2,876,986,861,744,776,848.6
D_43,555,642,502,430,378,501.4
D_46,542,591,463,415,399,482.0
S_3,479,588,479,445,400,478.2
B_4,416,467,458,375,372,417.6
B_3,418,479,465,363,362,417.4
D_47,418,504,414,369,359,412.8
P_3,418,501,464,350,295,405.6
D_121,417,489,427,331,285,389.8
B_5,350,415,374,312,274,345.0
D_45,332,453,355,293,289,344.4
D_39,324,374,361,304,300,332.6
D_42,312,365,325,311,300,322.6
D_48,341,410,344,270,237,320.4
S_9,292,414,323,252,229,302.0
B_17,348,404,325,214,201,298.4
D_50,294,384,329,267,211,297.0
S_7,342,408,290,234,192,293.2
R_1,290,382,290,253,222,287.4
D_53,339,333,325,218,215,286.0
D_52,289,406,271,241,219,285.2
D_61,310,391,294,215,213,284.6
S_12,290,362,306,234,201,278.6
D_69,283,387,303,246,163,276.4
S_5,275,374,293,225,208,275.0
D_55,284,365,285,216,205,271.0
S_23,281,390,276,190,170,261.4
D_62,286,345,265,205,176,255.4
B_24,255,340,257,197,188,247.4
S_27,257,371,248,203,148,245.4
B_2,279,309,273,188,172,244.2
D_133,275,359,230,186,162,242.4
B_9,262,309,268,205,165,241.8
S_26,277,295,252,195,179,239.6
D_105,257,299,266,196,154,234.4
D_71,247,320,225,190,174,231.2
B_21,232,330,274,185,133,230.8
D_115,231,306,219,237,145,227.6
B_1,237,286,229,206,177,227.0
S_16,218,366,232,162,155,226.6
B_15,253,338,253,155,133,226.4
D_56,236,311,230,187,158,224.4
B_13,239,339,237,160,140,223.0
S_17,213,334,244,159,140,218.0
B_27,230,328,234,165,122,215.8
D_60,230,266,240,184,157,215.4
D_144,235,303,216,160,142,211.2
R_27,191,283,234,161,176,209.0
S_24,208,289,203,198,144,208.4
B_11,225,253,224,176,161,207.8
B_14,205,269,245,169,146,206.8
S_25,254,280,218,149,120,204.2
R_6,205,306,205,190,113,203.8
B_12,239,294,204,150,124,202.2
S_19,227,300,200,154,116,199.4
D_49,211,210,203,184,179,197.4
D_102,208,289,211,160,116,196.8
B_26,222,267,216,151,126,196.4
B_40,210,217,218,187,145,195.4
B_36,217,257,232,163,105,194.8
D_77,190,256,228,150,148,194.4
B_18,203,212,251,149,153,193.6
B_6,208,233,208,166,146,192.2
B_7,197,243,205,153,157,191.0
B_10,164,256,192,168,133,182.6
D_58,185,213,205,148,145,179.2
D_118,187,226,189,142,140,176.8
S_22,177,217,202,133,118,169.4
D_59,170,220,176,149,117,166.4
B_28,148,253,175,155,97,165.6
B_25,164,260,171,126,106,165.4
D_132,163,204,163,144,141,163.0
D_112,178,184,153,156,136,161.4
D_119,139,228,169,147,113,159.2
S_11,168,209,152,128,111,153.6
D_142,143,196,183,128,93,148.6
days,170,201,148,132,76,145.4
D_41,154,160,142,134,136,145.2
B_37,148,166,159,108,116,139.4
B_23,144,175,120,96,105,128.0
D_44,130,139,127,118,104,123.6
D_124,126,163,130,111,84,122.8
B_29,132,129,126,111,103,120.2
R_3,116,131,129,109,108,118.6
S_8,117,169,112,101,85,116.8
B_38,113,131,108,111,110,114.6
B_19,127,142,116,103,80,113.6
D_76,130,124,141,88,83,113.2
D_104,124,131,132,85,63,107.0
B_20,112,105,106,97,101,104.2
D_134,102,129,102,73,78,96.8
D_141,104,113,80,81,67,89.0
B_8,86,129,74,72,62,84.6
D_54,82,91,88,79,74,82.8
D_117,80,115,86,61,65,81.4
D_128,76,97,81,65,46,73.0
B_16,80,85,73,53,44,67.0
D_131,71,84,64,54,55,65.6
D_65,70,60,74,58,64,65.2
D_66,69,60,64,60,69,64.4
S_15,69,77,72,53,50,64.2
D_75,66,77,68,61,39,62.2
R_11,65,77,62,52,50,61.2
B_39,58,61,72,55,54,60.0
D_70,58,71,67,51,52,59.8
D_74,61,53,74,57,52,59.4
R_7,60,72,73,42,44,58.2
D_130,52,86,70,50,25,56.6
D_122,54,83,55,48,42,56.4
P_4,70,87,48,39,37,56.2
S_13,54,64,50,38,42,49.6
R_26,49,56,46,42,42,47.0
D_63,49,36,55,47,45,46.4
D_120,48,46,45,45,46,46.0
B_42,35,49,48,44,35,42.2
R_5,38,50,37,42,41,41.6
D_51,42,49,41,31,42,41.0
D_72,40,49,41,35,38,40.6
D_140,37,48,36,35,38,38.8
D_82,25,60,33,40,31,37.8
D_106,53,35,37,36,25,37.2
D_64,39,46,42,33,23,36.6
R_2,36,30,38,37,38,35.8
R_12,36,44,31,30,33,34.8
R_16,31,43,44,28,21,33.4
R_10,26,38,37,38,27,33.2
D_113,30,33,48,26,19,31.2
D_145,35,41,28,35,17,31.2
D_91,33,37,25,25,33,30.6
D_110,41,33,22,26,31,30.6
D_114,34,32,35,26,24,30.2
D_80,40,37,30,21,19,29.4
R_9,25,27,39,29,26,29.2
R_20,21,25,25,31,22,24.8
B_41,24,21,27,28,24,24.8
D_73,21,49,14,16,21,24.2
D_79,28,20,21,26,22,23.4
B_22,31,19,23,20,18,22.2
D_138,26,20,23,25,16,22.0
D_81,21,20,28,23,16,21.6
R_8,27,21,21,15,23,21.4
R_15,21,21,23,22,19,21.2
R_14,10,30,29,24,9,20.4
D_83,10,21,28,21,20,20.0
S_6,22,31,23,4,9,17.8
D_96,8,17,24,21,16,17.2
D_68,16,20,14,12,21,16.6
D_78,23,13,28,15,4,16.6
D_88,17,18,18,21,7,16.2
D_107,19,21,16,7,16,15.8
D_86,12,22,19,16,9,15.6
D_108,12,14,13,5,10,10.8
D_84,13,11,8,10,10,10.4
D_129,12,12,10,9,9,10.4
D_127,14,7,13,10,6,10.0
B_32,9,10,11,9,9,9.6
R_4,7,11,10,8,10,9.2
B_30,9,12,11,7,6,9.0
D_136,9,4,16,8,5,8.4
B_31,0,12,8,8,10,7.6
D_125,10,6,8,5,5,6.8
D_126,10,13,3,3,4,6.6
D_123,4,9,11,2,1,5.4
D_116,4,5,4,4,2,3.8
D_89,1,3,7,6,0,3.4
D_92,1,6,4,3,3,3.4
D_135,2,6,1,2,4,3.0
S_18,5,0,1,1,3,2.0
R_17,2,5,2,1,0,2.0
S_20,2,1,4,2,0,1.8
R_22,3,1,0,3,2,1.8
R_13,0,3,4,0,1,1.6
B_33,3,2,0,0,2,1.4
D_111,5,2,0,0,0,1.4
R_19,2,0,1,0,2,1.0
D_87,2,1,1,0,1,1.0
R_25,0,3,1,0,0,0.8
D_93,0,2,1,1,0,0.8
D_103,0,0,3,0,0,0.6
R_21,0,1,0,1,1,0.6
R_24,0,1,0,1,1,0.6
D_139,0,0,0,1,1,0.4
D_94,0,0,0,0,1,0.2
R_28,0,0,0,0,0,0.0
D_109,0,0,0,0,0,0.0
R_18,0,0,0,0,0,0.0
D_137,0,0,0,0,0,0.0
D_143,0,0,0,0,0,0.0
R_23,0,0,0,0,0,0.0
